Id,Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Country,District,Municipality,Parish,Price M2,Price
101,Used,Homes,Apartment,3,1,76,152,0,38.7792,-9.1186,Portugal,Lisboa,Lisboa,Olivais,2463,198000
102,Used,Homes,Duplex,5,3,190,380,0,38.7056,-9.1784,Portugal,Lisboa,Lisboa,Alcantara,3125,1270000
103,Used,Homes,Apartment,1,1,26,52,0,38.7058,-9.1639,Portugal,Lisboa,Lisboa,Estrela,4005,140000
104,Used,Homes,Apartment,5,4,185,370,0,38.7466,-9.1640,Portugal,Lisboa,Lisboa,Sao Domingos de Benfica,3412,995000
105,Used,Homes,Apartment,7,1,150,300,0,38.7323,-9.1287,Portugal,Lisboa,Lisboa,Arroios,3277,570000
106,Used,Homes,Apartment,3,2,95,190,0,38.6965,-9.2099,Portugal,Lisboa,Lisboa,Belem,3542,425000
107,Used,Homes,Apartment,3,1,76,152,0,38.7544,-9.1129,Portugal,Lisboa,Lisboa,Marvila,2881,130000
108,Used,Homes,Apartment,3,1,81,162,0,38.7561,-9.1796,Portugal,Lisboa,Lisboa,Sao Domingos de Benfica,3412,215000
109,Used,Homes,Apartment,2,1,58,116,0,38.7792,-9.1186,Portugal,Lisboa,Lisboa,Olivais,2463,196000
110,Used,Homes,Apartment,5,3,286,572,0,38.7632,-9.1687,Portugal,Lisboa,Lisboa,Lumiar,2927,925000
111,Used,Homes,Apartment,2,1,68,136,0,38.7449,-9.1209,Portugal,Lisboa,Lisboa,Marvila,2881,170000
112,Used,Homes,Apartment,3,2,97,194,0,38.7077,-9.2059,Portugal,Lisboa,Lisboa,Belem,3542,440000
113,Used,Homes,Apartment,2,2,72,144,0,38.7122,-9.1299,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,235000
114,Used,Homes,Apartment,3,2,120,240,0,38.7796,-9.0938,Portugal,Lisboa,Lisboa,Parque das Nacoes,4162,565000
115,Used,Homes,Apartment,1,1,65,130,0,38.7807,-9.1628,Portugal,Lisboa,Lisboa,Santa Clara,2393,217000
116,Used,Homes,Apartment,4,2,137,274,0,38.7463,-9.1439,Portugal,Lisboa,Lisboa,Alvalade,3623,450000
117,Used,Homes,Apartment,1,1,63,126,0,38.7269,-9.1649,Portugal,Lisboa,Lisboa,Campolide,3036,115000
118,Used,Homes,Apartment,2,1,70,140,0,38.7102,-9.1491,Portugal,Lisboa,Lisboa,Misericordia,5112,490000
119,Used,Homes,Apartment,3,2,101,202,0,38.7622,-9.1536,Portugal,Lisboa,Lisboa,Lumiar,2927,350000
120,Used,Homes,Apartment,2,1,56,112,0,38.7842,-9.1660,Portugal,Lisboa,Lisboa,Santa Clara,2393,178000
121,Used,Homes,Apartment,3,2,90,180,0,38.7445,-9.1913,Portugal,Lisboa,Lisboa,Benfica,2727,249000
122,Used,Homes,Apartment,2,1,66,132,0,38.7172,-9.1349,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,155000
123,Used,Homes,Apartment,4,2,158,316,0,38.7118,-9.1328,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,1350000
124,Used,Homes,Apartment,1,1,78,156,0,38.7297,-9.1337,Portugal,Lisboa,Lisboa,Penha de Franca,2973,199900
125,Used,Homes,Apartment,4,2,117,234,0,38.7335,-9.1363,Portugal,Lisboa,Lisboa,Arroios,3277,450000
126,Used,Homes,Apartment,3,1,100,200,0,38.7395,-9.1327,Portugal,Lisboa,Lisboa,Arroios,3277,390000
127,Used,Homes,Apartment,3,3,153,306,0,38.7568,-9.0944,Portugal,Lisboa,Lisboa,Parque das Nacoes,4162,660000
128,Used,Homes,Apartment,2,2,76,152,0,38.7523,-9.2049,Portugal,Lisboa,Lisboa,Benfica,2727,275000
129,Used,Homes,Apartment,4,2,110,220,0,38.7321,-9.1284,Portugal,Lisboa,Lisboa,Penha de Franca,2973,320000
130,Used,Homes,Apartment,1,1,60,120,0,38.7116,-9.1647,Portugal,Lisboa,Lisboa,Estrela,4005,110000
131,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Portugal,Lisboa,Lisboa,Estrela,4005,179000
132,Used,Homes,Apartment,1,1,30,60,0,38.7116,-9.1647,Portugal,Lisboa,Lisboa,Estrela,4005,125000
133,Used,Homes,Apartment,2,1,60,120,0,38.7116,-9.1647,Portugal,Lisboa,Lisboa,Estrela,4005,179000
134,Used,Homes,Apartment,2,1,50,100,0,38.7127,-9.1654,Portugal,Lisboa,Lisboa,Estrela,4005,168000
135,Used,Homes,Apartment,2,1,68,136,0,38.7429,-9.1039,Portugal,Lisboa,Lisboa,Marvila,2881,125000
136,Used,Homes,Apartment,3,1,100,200,0,38.7618,-9.1685,Portugal,Lisboa,Lisboa,Lumiar,2927,375000
137,Used,Homes,Apartment,2,1,64,128,0,38.7096,-9.1462,Portugal,Lisboa,Lisboa,Misericordia,5112,190000
138,Used,Homes,Apartment,1,1,29,58,0,38.7147,-9.1333,Portugal,Lisboa,Lisboa,Sao Vicente,3402,85000
139,Used,Homes,Apartment,1,1,29,58,0,38.7147,-9.1333,Portugal,Lisboa,Lisboa,Sao Vicente,3402,90000
140,Used,Homes,Apartment,4,1,110,220,0,38.7218,-9.1367,Portugal,Lisboa,Lisboa,Arroios,3277,325000
141,Used,Homes,Apartment,4,2,109,218,0,38.7675,-9.1606,Portugal,Lisboa,Lisboa,Lumiar,2927,300000
142,Used,Homes,Apartment,3,1,79,158,0,38.7276,-9.1661,Portugal,Lisboa,Lisboa,Campolide,3036,390000
143,Used,Homes,Apartment,3,2,130,260,0,38.7353,-9.1560,Portugal,Lisboa,Lisboa,Avenidas Novas,3841,750000
144,Used,Homes,Apartment,8,6,299,598,0,38.7420,-9.1469,Portugal,Lisboa,Lisboa,Avenidas Novas,3841,1700000
145,Used,Homes,Apartment,2,1,68,136,0,38.7290,-9.1373,Portugal,Lisboa,Lisboa,Arroios,3277,295000
146,Used,Homes,Apartment,2,1,61,122,0,38.7265,-9.1177,Portugal,Lisboa,Lisboa,Penha de Franca,2973,213500
147,Used,Homes,Apartment,3,3,195,390,0,38.7386,-9.1677,Portugal,Lisboa,Lisboa,Campolide,3036,875000
148,Used,Homes,Apartment,3,1,105,210,0,38.7491,-9.1420,Portugal,Lisboa,Lisboa,Alvalade,3623,350000
149,Used,Homes,Apartment,1,1,57,114,0,38.7118,-9.1453,Portugal,Lisboa,Lisboa,Misericordia,5112,295000
150,Used,Single Habitation,Dwelling,5,3,190,380,0,38.7723,-9.1198,Portugal,Lisboa,Lisboa,Olivais,2463,850000
151,Used,Single Habitation,Isolated Villa,11,6,573,1146,0,38.7497,-9.1347,Portugal,Lisboa,Lisboa,Alvalade,3623,1750000
156,New,Homes,Penthouse,3,3,230,460,0,38.7351,-9.1472,Portugal,Lisboa,Lisboa,Avenidas Novas,3841,1375000
157,New,Homes,Apartment,1,1,38,76,0,38.7169,-9.1344,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,350000
158,New,Homes,Apartment,1,1,32,64,0,38.7169,-9.1344,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,255000
159,New,Homes,Apartment,1,1,48,96,0,38.7169,-9.1344,Portugal,Lisboa,Lisboa,Santa Maria Maior,4807,355000
160,New,Homes,Duplex,1,1,41,82,0,38.7253,-9.1296,Portugal,Lisboa,Lisboa,Penha de Franca,2973,295000
161,New,Homes,Apartment,2,2,111,222,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,778000
162,New,Homes,Apartment,2,2,87,174,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,665000
163,New,Homes,Apartment,2,2,87,174,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,665000
164,New,Homes,Apartment,2,2,93,186,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,705000
165,New,Homes,Apartment,2,2,82,164,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,627000
166,New,Homes,Apartment,2,2,80,160,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,598000
167,New,Homes,Apartment,2,2,69,138,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,515000
168,New,Homes,Apartment,2,2,69,138,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,515000
169,New,Homes,Apartment,1,1,47,94,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,349000
170,New,Homes,Apartment,1,1,47,94,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,349000
171,New,Homes,Apartment,1,1,48,96,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,365000
172,New,Homes,Apartment,1,1,50,100,0,38.7176,-9.1527,Portugal,Lisboa,Lisboa,Santo Antonio,5340,275000
173,New,Homes,Apartment,2,2,93,186,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,705000
174,New,Homes,Apartment,1,1,41,82,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,315000
175,New,Homes,Apartment,1,1,47,94,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,349000
176,New,Homes,Apartment,1,1,48,96,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,365000
177,New,Homes,Apartment,1,1,41,82,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,315000
178,New,Homes,Apartment,1,1,48,96,1,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,365000
179,New,Homes,Apartment,2,2,80,160,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,598000
180,New,Homes,Apartment,3,3,121,242,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,892000
181,New,Homes,Apartment,2,2,82,164,2,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,627000
182,New,Homes,Apartment,3,3,152,304,3,38.7214,-9.1607,Portugal,Lisboa,Lisboa,Campo de Ourique,3859,1100000
183,New,Homes,Apartment,3,3,152,304,1,38.6963,-9.2202,Portugal,Lisboa,Lisboa,Belem,3542,910000
184,New,Homes,Apartment,3,3,157,314,1,38.6963,-9.2202,Portugal,Lisboa,Lisboa,Belem,3542,910000
185,New,Homes,Apartment,3,4,176,352,0,38.6963,-9.2202,Portugal,Lisboa,Lisboa,Belem,3542,1350000
186,New,Homes,Apartment,2,2,80,160,0,38.7221,-9.1460,Portugal,Lisboa,Lisboa,Arroios,3277,745000
187,New,Homes,Apartment,1,1,95,190,0,38.7201,-9.1293,Portugal,Lisboa,Lisboa,Sao Vicente,3402,349000
188,New,Homes,Apartment,0,1,52,104,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,285000
189,New,Homes,Apartment,2,1,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,715000
190,New,Homes,Apartment,3,3,204,408,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,950000
191,New,Homes,Apartment,2,1,145,290,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,740000
192,New,Homes,Apartment,3,3,227,454,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,960000
193,New,Homes,Apartment,3,3,174,348,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,1000000
194,New,Homes,Apartment,3,3,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,810000
195,New,Homes,Apartment,3,3,202,404,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,1030000
196,New,Homes,Apartment,3,3,202,404,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,825000
197,New,Homes,Apartment,3,3,193,386,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,995000
198,New,Homes,Apartment,3,3,161,322,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,805000
199,New,Homes,Apartment,3,3,195,390,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,970000
200,New,Homes,Apartment,3,3,195,390,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,990000
201,New,Homes,Apartment,3,3,227,454,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,960000
202,New,Homes,Apartment,3,3,217,434,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,835000
203,New,Homes,Apartment,3,3,161,322,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,805000
204,New,Homes,Apartment,4,4,273,546,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,1300000
205,New,Homes,Apartment,4,4,223,446,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,1250000
206,New,Homes,Apartment,3,3,180,360,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,975000
207,New,Homes,Apartment,2,2,140,280,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,785000
208,New,Homes,Apartment,2,3,76,152,0,38.7214,-9.1305,Portugal,Lisboa,Lisboa,Sao Vicente,3402,659000
209,New,Homes,Apartment,3,2,206,412,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,920000
210,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,500000
211,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,510000
212,New,Homes,Apartment,1,1,76,152,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,515000
213,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,500000
214,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,500000
215,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,450000
216,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,475000
217,New,Homes,Apartment,1,1,76,152,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,515000
218,New,Homes,Apartment,2,1,152,304,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,700000
219,New,Homes,Apartment,2,1,145,290,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,725000
220,New,Homes,Apartment,2,1,145,290,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,740000
221,New,Homes,Apartment,2,1,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,715000
222,New,Homes,Apartment,2,1,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,685000
223,New,Homes,Apartment,2,1,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,700000
224,New,Homes,Apartment,2,1,139,278,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,715000
225,New,Homes,Apartment,2,1,145,290,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,725000
226,New,Homes,Apartment,1,1,79,158,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,500000
227,New,Homes,Apartment,2,1,152,304,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,700000
228,New,Homes,Apartment,2,1,187,374,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,775000
229,New,Homes,Apartment,3,2,210,420,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,975000
230,New,Homes,Apartment,3,2,175,350,0,38.7458,-9.0978,Portugal,Lisboa,Lisboa,Marvila,2881,785000
