"ï.¿Car.Make","Car.Model","Year","Engine.Size..L.","Horsepower","Torque..lb.ft.","X0.60.MPH.Time..seconds.","Price..in.USD."
"Porsche","911",2022,"3",379,331,4,101200
"Lamborghini","Huracan",2021,"5.2",630,443,2.8,274390
"Ferrari","488 GTB",2022,"3.9",661,561,3,333750
"Audi","R8",2022,"5.2",562,406,3.2,142700
"McLaren","720S",2021,"4",710,568,2.7,298000
"BMW","M8",2022,"4.4",617,553,3.1,130000
"Mercedes-Benz","AMG GT",2021,"4",523,494,3.8,118500
"Chevrolet","Corvette",2021,"6.2",490,465,2.8,59900
"Ford","Mustang Shelby GT500",2022,"5.2",760,625,3.5,81000
"Nissan","GT-R Nismo",2021,"3.8",600,481,2.5,212000
"Aston Martin","DB11",2021,"5.2",630,516,3.5,201495
"Bugatti","Chiron",2021,"8",1500,1180,2.4,3e+06
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,61000
"Jaguar","F-Type",2022,"3",296,295,5.4,70100
"Koenigsegg","Jesko",2021,"5",1280,1015,2.5,2800000
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,104450
"Maserati","GranTurismo",2021,"4.7",454,384,4.8,150000
"Porsche","Boxster",2021,"2",300,280,4.7,62000
"Alfa Romeo","Giulia Quadrifoglio",2022,"2.9",505,443,3.8,78000
"Ariel","Atom",2021,"2",320,243,2.8,75000
"Bentley","Continental GT",2021,"6",626,664,3.6,225000
"McLaren","Artura",2022,"3",671,531,3,225000
"Mercedes-AMG","SLS AMG",2021,"6.2",622,468,3.5,248000
"Pagani","Huayra",2021,"6",720,737,2.8,2800000
"Polestar","1",2021,"2",600,738,4.1,155000
"Rimac","Nevera",2022,"Electric",1914,1696,1.85,2400000
"Porsche","Cayman GT4",2022,"4",414,309,3.8,100200
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517770
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,117000
"McLaren","Artura",2021,"3",671,531,3,225000
"BMW","M4",2022,"3",503,479,3.8,72800
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.2,222000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.5,45690
"Porsche","Taycan 4S",2022,"Electric Motor",562,479,3.8,104000
"Lamborghini","Urus",2021,"4",641,626,3.5,218000
"Ferrari","Roma",2021,"3.9",611,561,3.3,222000
"Audi","RS3",2022,"2.5",394,369,3.9,57000
"McLaren","GT",2021,"4",612,465,3.1,210000
"BMW","i8",2020,"1.5 + Electric",369,420,4.2,148500
"Mercedes-Benz","CLS63 AMG",2019,"4",603,627,3.4,132000
"Porsche","Cayman",2021,"2",300,280,5.1,58900
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,518000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS3",2022,"2.5",394,369,3.9,56200
"McLaren","570S",2021,"3.8",562,443,2.8,192500
"BMW","M4",2022,"3",503,479,3.8,71800
"Mercedes-Benz","AMG C63",2021,"4",503,516,3.8,68000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4.1,42500
"Ford","Mustang GT",2022,"5",460,420,4.3,39000
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,46100
"Aston Martin","Vantage",2021,"4",503,505,3.5,142100
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Porsche","Panamera",2021,"2.9",325,331,5.1,87200
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Ferrari","Roma",2021,"3.9",612,560,3.4,222000
"Audi","S5",2022,"3",349,369,4.4,52500
"McLaren","600LT",2021,"3.8",592,457,2.8,241000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Aston Martin","Vantage",2022,"4",503,505,3.5,146000
"Audi","RS5",2021,"2.9",444,443,3.6,75400
"BMW","M2",2022,"3",405,406,4,58900
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42900
"Dodge","Challenger SRT Hellcat Redeye",2022,"6.2",797,707,3.4,78595
"Ford","GT",2021,"3.5",660,550,3,5e+05
"Jaguar","F-Type",2022,"2",296,295,5.4,62750
"Lamborghini","Aventador",2021,"6.5",770,531,2.9,417826
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,150980
"McLaren","Artura",2022,"3",671,531,3,225000
"Mercedes-Benz","C63 AMG",2021,"4",503,516,3.8,70100
"Nissan","370Z",2021,"3.7",332,270,5,30090
"Porsche","Panamera",2022,"2.9",325,331,5.3,88700
"Audi","TT RS",2021,"2.5",394,354,3.6,67600
"BMW","M4",2022,"3",473,406,4.1,72800
"Chevrolet","Corvette Stingray",2021,"6.2",490,465,2.8,59900
"Ferrari","F8 Tributo",2021,"3.9",710,568,2.8,274280
"Ford","Mustang Mach 1",2021,"5",480,420,4.3,52915
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Porsche","718 Cayman",2022,"2",300,280,4.5,61000
"Acura","NSX",2022,"3.5",573,476,2.9,159495
"Aston Martin","Vantage",2022,"4",503,505,3.5,142086
"Bentley","Continental GT",2021,"6",626,664,3.3,219800
"Bugatti","Chiron",2022,"8",1500,1180,2.4,3e+06
"Dodge","Challenger SRT Hellcat Redeye",2022,"6.2",797,707,3.4,74290
"Jaguar","F-Type",2022,"3",380,339,4.9,71900
"Koenigsegg","Jesko",2022,"5",1600,1106,2.5,3e+06
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Maserati","GranTurismo",2022,"4.7",454,384,4.7,134300
"Mazda","MX-5 Miata",2021,"2",181,151,6.5,26830
"McLaren","GT",2022,"4",620,465,3.1,213195
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.7,221580
"Pagani","Huayra",2022,"6",764,738,2.8,2800000
"Porsche","718 Cayman GT4",2022,"4",414,309,4.2,100550
"Rimac","Nevera",2022,"Electric",1914,1696,1.95,2400000
"Rolls-Royce","Wraith",2021,"6.8",624,605,4.4,330000
"Tesla","Roadster",2022,"Electric",NA,737,1.9,2e+05
"Toyota","Supra",2022,"3",382,368,3.9,43090
"W Motors","Fenyr Supersport",2022,"3.8",800,723,2.7,1700000
"Porsche","718 Cayman",2022,"2",300,280,4.7,60500
"Lamborghini","Aventador",2021,"6.5",770,531,2.9,522000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","TT RS",2022,"2.5",394,354,3.4,67000
"McLaren","GT",2021,"4",612,465,3.1,212500
"BMW","M4",2022,"3",503,479,3.8,75000
"Mercedes-Benz","SL 63 AMG",2021,"4",603,664,3.5,155000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z",2021,"3.7",332,270,4.7,31015
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.4,304995
"Bugatti","Chiron",2021,"8",1500,1180,2.4,3e+06
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"McLaren","570S",2021,"3.8",562,443,3.2,192500
"Porsche","Panamera Turbo S E-Hybrid",2021,"4",690,642,3.2,190000
"Lamborghini","Urus",2021,"4",641,627,3.6,222000
"Ferrari","Roma",2021,"3.9",611,561,3.3,222000
"Audi","RS7",2021,"4",591,590,3.5,115000
"BMW","M2",2022,"3",405,406,4.2,59000
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102100
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,417826
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.2,304995
"Bentley","Continental GT",2021,"6",626,664,3.6,220300
"Audi","RS7",2022,"4",591,590,3.5,114000
"Mercedes-Benz","SLS AMG",2021,"6.2",622,468,3.7,239100
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","M2",2022,"3",405,406,4,58900
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,62500
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65290
"Ferrari","Portofino",2021,"3.9",592,560,3.5,219750
"Porsche","Panamera Turbo S",2022,"4",620,604,2.9,187700
"Lamborghini","Urus",2021,"4",641,627,3.6,222004
"Mercedes-Benz","AMG C63",2021,"4",469,479,3.8,71350
"Aston Martin","Vantage",2021,"4",503,505,3.6,146000
"Audi","S5",2022,"3",349,369,4.4,52500
"Porsche","Cayman",2022,"2.5",365,309,4.5,68900
"Lamborghini","Aventador",2021,"6.5",730,507,2.8,517770
"Ferrari","F8 Tributo",2022,"3.9",710,568,2.9,276550
"Audi","TT RS",2021,"2.5",394,354,3.6,67600
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","Z4 M40i",2022,"3",382,369,3.9,63700
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.7,221580
"Chevrolet","Camaro SS",2022,"6.2",455,455,4.1,44000
"Ford","Mustang Mach 1",2021,"5",480,420,4,51720
"Nissan","370Z Nismo",2021,"3.7",350,276,4.9,45790
"Porsche","Panamera",2022,"2.9",325,331,5.4,88550
"Lamborghini","Urus",2021,"4",641,627,3.5,218009
"Ferrari","Roma",2021,"3.9",612,561,3.3,222620
"Audi","RS 3",2022,"2.5",401,369,3.6,56200
"McLaren","GT",2021,"4",612,465,3.2,2e+05
"BMW","M2 CS",2022,"3",444,406,3.8,84595
"Mercedes-Benz","AMG C63",2021,"4",503,516,3.8,77500
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,62500
"Acura","NSX",2021,"3.5",573,476,2.7,157500
"Aston Martin","DB11",2022,"4",503,513,3.7,204100
"Bentley","Continental GT",2021,"6",626,664,3.4,220300
"Bugatti","Chiron",2021,"8",1500,1180,2.4,3e+06
"Dodge","Viper",2017,"8.4",645,600,3.3,120000
"Jaguar","F-Type",2022,"3",380,339,4.9,69900
"Koenigsegg","Jesko",2022,"5",1600,1106,2.5,3e+06
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105950
"Maserati","GranTurismo",2020,"4.7",454,384,4.8,150000
"McLaren","570S",2020,"3.8",562,443,3.1,204550
"Pagani","Huayra",2020,"6",720,738,3,2700000
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102900
"Rimac","C_Two",2022,NA,1914,1696,1.9,2400000
"Rolls-Royce","Wraith",2021,"6.6",624,605,4.3,330000
"Shelby","Cobra",1965,"7",435,440,4.2,1e+06
"Tesla","Model S Plaid",2021,NA,1020,1050,1.98,131190
"Toyota","GR Supra",2022,"3",382,368,3.9,43090
"TVR","Griffith",2022,"5",500,479,3.8,123500
"W Motors","Lykan Hypersport",2015,"3.7",780,708,2.8,3400000
"Porsche","718 Cayman",2021,"2",300,280,4.5,61500
"Lamborghini","Aventador SVJ",2021,"6.5",770,531,2.8,518000
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,507000
"Audi","RS 6",2021,"4",591,590,3.5,109000
"McLaren","GT",2021,"4",612,465,3.1,210000
"BMW","M2 CS",2022,"3",444,406,3.8,84595
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.6,228000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,45000
"Porsche","Taycan",2021,"Electric",750,774,2.6,185000
"Lamborghini","Urus",2021,"4",641,627,3.6,222004
"Ferrari","F8 Tributo",2021,"3.9",710,568,2.9,276550
"Audi","RS 3",2022,"2.5",401,354,3.5,56000
"McLaren","570S",2021,"3.8",562,443,3.1,191000
"BMW","M5",2022,"4.4",600,553,3.2,104000
"Mercedes-Benz","AMG C 63",2021,"4",469,479,3.9,69900
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64000
"Porsche","Taycan",2022,"2",402,254,5.1,81250
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,517700
"Aston Martin","DBS Superleggera",2022,"5.2",715,663,3.4,330000
"Audi","RS 6 Avant",2021,"4",591,590,3.5,109000
"McLaren","600LT",2021,"3.8",592,457,2.8,242500
"Mercedes-AMG","C 63 S Coupe",2022,"4",503,516,3.7,77000
"BMW","M4",2022,"3",473,406,4.1,72800
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,62000
"Dodge","Challenger SRT Hellcat Redeye",2022,"6.2",797,707,3.5,76000
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Nissan","370Z",2021,"3.7",332,270,4.9,30090
"Porsche","Panamera",2022,"2.9",325,332,5.3,87200
"Lamborghini","Urus",2021,"4",641,626,3.5,218000
"Bugatti","Chiron",2021,"8",1500,1180,2.3,3e+06
"Ferrari","F8 Tributo",2021,"3.9",710,568,2.9,274280
"Audi","RS 7",2021,"4",591,590,3.5,114000
"McLaren","570S",2021,"3.8",562,443,3.1,191000
"Aston Martin","Vantage",2022,"4",503,505,3.5,142086
"Jaguar","F-Type",2022,"5",575,516,3.5,103200
"Porsche","Panamera Turbo S",2021,"4",620,604,2.9,177700
"Lamborghini","Aventador S",2021,"6.5",729,509,2.9,417650
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,115045
"McLaren","600LT",2021,"3.8",592,457,2.9,256500
"BMW","M2 Competition",2022,"3",405,406,4,59895
"Mercedes-Benz","S63 AMG",2021,"4",603,664,3.4,152500
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,69995
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Porsche","Taycan Turbo S",2021,NA,750,774,2.6,185000
"Lamborghini","Urus",2021,"4",641,627,3.2,218009
"Ferrari","812 Superfast",2021,"6.5",789,530,2.9,363730
"Audi","R8 Spyder",2022,"5.2",562,406,3.5,183300
"McLaren","GT",2021,"4",612,465,3.1,210000
"BMW","M4",2022,"3",473,406,4.1,73795
"Mercedes-Benz","AMG GT R",2021,"4",577,516,3.5,183000
"Chevrolet","Corvette Stingray",2021,"6.2",495,470,2.9,60995
"Aston Martin","DB11",2022,"5.2",630,516,3.5,207000
"Bentley","Continental GT",2022,"6",626,664,3.5,203825
"Jaguar","F-Type R",2021,"5",575,516,3.5,103200
"Acura","NSX",2022,"3.5",573,476,2.7,157500
"Lotus","Evora GT",2021,"3.5",416,317,3.7,99800
"Porsche","Cayman GT4",2021,"4",414,309,4.2,100200
"Alfa Romeo","4C",2020,"1.7",237,258,4.1,67150
"Audi","RS5",2022,"2.9",444,443,3.7,77250
"BMW","M2 Competition",2021,"3",405,406,4,58900
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Dodge","Charger SRT Hellcat",2022,"6.2",717,650,3.6,71490
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"Maserati","GranTurismo",2020,"4.7",454,384,4.8,150400
"Nissan","370Z Nismo",2021,"3.7",350,276,4.6,47820
"Rolls-Royce","Wraith",2022,"6.8",624,605,4.4,330000
"Subaru","WRX STI",2021,"2.5",310,290,4.6,38170
"Tesla","Model S Plaid",2022,NA,1020,1050,1.9,131190
"Porsche","Cayman GT4",2021,"4",414,309,4.2,102000
"Lamborghini","Aventador",2021,"6.5",729,507,2.9,393695
"Ferrari","Portofino",2022,"3.9",591,413,3.3,218750
"Audi","RS7",2021,"4",591,590,3.5,114000
"McLaren","600LT",2021,"3.8",592,457,2.8,256500
"BMW","M2",2022,"3",405,406,4,58900
"Mercedes-Benz","AMG GT",2021,"4",523,494,3.8,118500
"Chevrolet","Camaro SS",2021,"6.2",455,455,4.1,40590
"Ford","Mustang Mach 1",2021,"5",480,420,4,52720
"Nissan","370Z Nismo",2021,"3.7",350,276,4.6,45000
"Porsche","Panamera Turbo",2022,"4",620,604,3.1,174300
"Lamborghini","Urus",2021,"4",641,627,3.2,222004
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","TT RS",2022,"2.5",394,354,3.4,67895
"McLaren","GT",2021,"4",612,465,3.1,210000
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,62290
"Aston Martin","DBS Superleggera",2021,"5.2",715,663,3.2,304995
"Jaguar","F-Type R",2021,"5",575,516,3.5,103200
"Lexus","LC 500",2022,"5",471,398,4.4,93050
"Porsche","Cayman GT4",2022,"4",414,309,4.2,101200
"BMW","M2 Competition",2022,"3",405,406,4,59895
"Audi","RS 5 Coupe",2021,"2.9",444,443,3.7,75100
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64195
"Lotus","Evora GT",2022,"3.5",416,317,3.8,105000
"McLaren","GT",2021,"4",612,465,3.1,211000
"Mercedes-Benz","SLS AMG Black Series",2014,"6.2",622,468,3.5,275000
"Bugatti","Chiron",2021,"8",1500,1180,2.4,2998000
"Koenigsegg","Jesko",2021,"5",1280,1015,2.5,3e+06
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Lamborghini","Aventador SVJ",2020,"6.5",770,531,2.8,573966
"Rimac","C_Two",2022,"Electric",1914,1732,1.85,2400000
"Pagani","Huayra Roadster BC",2021,"6",791,774,2.5,3500000
"Pininfarina","Battista",2022,"Electric",1874,1696,1.9,2500000
"Acura","NSX",2022,"3.5",573,476,2.9,157500
"Aston Martin","Vantage",2021,"4",503,505,3.5,146000
"Bentley","Continental GT",2022,"4",542,568,3.9,219800
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,70000
"Jaguar","F-Type",2022,"2",296,295,5.4,61600
"Kia","Stinger",2022,"3.3",368,376,4.7,52200
"Lotus","Evora GT",2021,"3.5",416,317,3.8,100450
"Maserati","GranTurismo",2021,"4.7",454,384,4.8,134300
"Porsche","718 Cayman GT4",2022,"4",414,309,4.2,102550
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,76400
"Audi","RS7",2021,"4",591,590,3.5,114000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,69000
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Lamborghini","Aventador",2021,"6.5",770,531,2.8,417826
"McLaren","Artura",2021,"3",671,531,3,225000
"Mercedes-Benz","SLS AMG",2021,"4",577,516,3.6,247500
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,45790
"Porsche","Taycan",2022,"Electric",616,774,2.6,79900
"Tesla","Model S",2022,"Electric",1020,1050,1.98,119000
"Aston Martin","DBS Superleggera",2022,"5.2",715,664,3.2,307820
"Bentley","Continental GT",2022,"4",542,568,3.4,207825
"Bugatti","Chiron",2021,"8",1479,1180,2.3,2998000
"McLaren","570S",2021,"3.8",562,443,3.1,202500
"Porsche","Taycan Turbo S",2021,"Electric",750,774,2.6,185000
"Lamborghini","Aventador S",2021,"6.5",730,509,2.9,417826
"Ferrari","F8 Tributo",2022,"3.9",710,568,2.8,276550
"Audi","RS 7",2022,"4",591,590,3.5,114000
"BMW","M2 CS",2022,"3",444,406,4,84595
"Mercedes-Benz","SLS AMG",2021,"6.2",622,468,3.2,275000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Jaguar","F-Type",2021,"5",575,516,3.5,103200
"Lotus","Evora GT",2021,"3.5",416,317,3.8,96950
"Maserati","GranTurismo",2022,"4.7",454,384,4.8,134300
"McLaren","765LT",2021,"4",755,590,2.8,358000
"Nissan","370Z",2021,"3.7",332,270,5,30000
"Pagani","Huayra",2021,"6",730,738,3,2600000
"Porsche","Panamera Turbo S",2021,"4",620,604,2.9,180000
"Tesla","Model S Plaid",2021,"Electric",1020,1050,1.9,131100
"Aston Martin","DB11",2021,"4",503,513,4,201495
"Dodge","Challenger Hellcat Redeye",2022,"6.2",797,707,3.4,82190
"Lotus","Evora",2021,"3.5",416,317,3.8,96950
"Acura","NSX",2021,"3.5",573,476,2.7,159495
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,76950
"Bentley","Continental GT",2021,"6",626,664,3.3,202500
"Jaguar","F-Type",2022,"3",380,339,4.9,70100
"Koenigsegg","Jesko",2022,"5",1280,1015,2.5,3e+06
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Maserati","GranTurismo",2022,"4.7",454,384,4.8,132795
"McLaren","GT",2022,"4",612,465,3.1,215500
"Mercedes-AMG","C 63 S Coupe",2022,"4",503,516,3.7,80900
"Porsche","718 Cayman",2021,"2",300,280,4.9,59900
"Rolls-Royce","Wraith",2021,"6.8",624,605,4.3,330000
"Tesla","Roadster",2022,"-",NA,NA,1.9,2e+05
