"ï.¿Car.Make","Car.Model","Year","Engine.Size..L.","Horsepower","Torque..lb.ft.","X0.60.MPH.Time..seconds.","Price..in.USD."
"McLaren","570S",2021,"3.8",562,443,2.7,204995
"BMW","M4",2022,"3",473,406,4.1,71800
"Mercedes-Benz","SLS AMG",2021,"6.2",622,468,3.5,243600
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,47190
"Porsche","Panamera",2022,"2.9",325,331,5.4,88550
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS6",2022,"4",591,590,3.5,113000
"McLaren","Artura",2021,"3",671,531,3,225000
"BMW","M2",2022,"3",405,406,4,58900
"Mercedes-Benz","GT 63",2021,"4",577,590,3.3,161200
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Aston Martin","DBS Superleggera",2021,"5.2",715,663,3.2,310000
"Bugatti","Chiron",2022,"8",1500,1180,2.4,3e+06
"Koenigsegg","Jesko",2021,"5",1280,1106,2.5,2800000
"Pagani","Huayra",2021,"6",764,737,3,2600000
"Rimac","C_Two",2022,NA,1914,1696,1.85,2400000
"McLaren","Senna",2021,"4",789,590,2.7,1e+06
"Porsche","918 Spyder",2015,"4.6",887,944,2.2,1800000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Lamborghini","Aventador SVJ",2020,"6.5",759,531,2.8,517000
"Audi","RS 6 Avant",2021,"4",591,590,3.5,110000
"Bentley","Continental GT Speed",2022,"6",650,664,3.5,3e+05
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,68000
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65000
"Ford","GT",2021,"3.5",660,550,2.9,5e+05
"Lexus","LC 500",2022,"5",471,398,4.4,92000
"Lotus","Evija",2022,NA,1972,1254,2.5,2700000
"Mercedes-AMG","GT Black Series",2021,"4",720,590,3.1,330000
"Aston Martin","DB11",2021,"4",503,513,3.9,205000
"Bentley","Continental GT",2022,"4",542,568,3.9,229000
"Jaguar","F-Type",2022,"2",296,295,5.4,62750
"Lotus","Evora GT",2021,"3.5",416,317,3.8,1e+05
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,135000
"Porsche","Boxster",2022,"2",300,280,4.9,63000
"Alfa Romeo","4C",2020,"1.8",237,258,4.2,67150
"Chevrolet","Camaro",2022,"6.2",455,455,4,62195
"Dodge","Challenger",2022,"3.6",305,268,6.4,28000
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Audi","RS7",2022,"4",591,590,3.5,115045
"BMW","M4",2022,"3",473,406,4.1,71800
"Lamborghini","Aventador",2021,"6.5",729,507,2.9,393695
"Mercedes-Benz","AMG C 63",2021,"4",469,479,3.8,69900
"Nissan","370Z",2021,"3.7",350,276,5.3,30090
"Porsche","Cayman",2022,"2",300,280,4.9,68000
"BMW","i8",2022,"1.5",369,184,4.2,147500
"Chevrolet","Corvette Stingray",2021,"6.2",495,470,2.9,58900
"Porsche","Taycan Turbo S",2022,"Electric",750,774,2.6,185000
"Lamborghini","Aventador S",2021,"6.5",729,507,2.9,417650
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,115000
"McLaren","GT",2022,"4",620,465,3.1,208000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Mercedes-Benz","SLS AMG",2021,"4",730,590,2.9,250000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,46100
"Porsche","Panamera Turbo S",2022,"4",630,604,3.1,180000
"Lamborghini","Urus",2021,"4",641,627,3.2,218000
"Ferrari","Portofino",2022,"3.9",591,561,3.4,250000
"Audi","TT RS",2022,"2.5",394,354,3.6,70000
"McLaren","570S",2021,"3.8",562,443,3.1,2e+05
"BMW","i8",2022,"Hybrid",369,184,4.2,148500
"Porsche","718 Cayman",2022,"2",300,280,4.9,61500
"Lamborghini","Aventador",2021,"6.5",770,531,2.8,417826
"Ferrari","Portofino",2022,"3.9",612,561,3.3,245000
"Audi","TT RS",2022,"2.5",394,354,3.6,67800
"McLaren","GT",2022,"4",620,465,3.1,211300
"BMW","M4",2022,"3",473,406,4.1,71800
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.5,222500
"Chevrolet","Camaro SS",2022,"6.2",455,455,4,43995
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,45790
"Porsche","911 Turbo S",2022,"3.8",640,590,2.6,208000
"McLaren","765LT",2021,"4",755,590,2.8,358000
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Mercedes-AMG","GT Black Series",2021,"4",720,590,3.1,325000
"BMW","M5 Competition",2022,"4.4",617,553,3.1,103500
"Audi","RS7",2022,"4",591,590,3.5,115000
"Aston Martin","Vantage",2022,"4",503,505,3.5,152995
"Ferrari","F8 Spider",2021,"3.9",710,568,2.9,274280
"Lexus","LC 500",2022,"5",471,398,4.4,102550
"Porsche","Taycan",2022,NA,469,479,3.8,79900
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517770
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS6 Avant",2021,"4",591,590,3.5,109000
"McLaren","600LT Spider",2021,"3.8",592,457,2.8,256500
"BMW","M4",2022,"3",473,406,3.8,71800
"Mercedes-Benz","AMG GT R",2021,"4",577,516,3.5,180000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64695
"Ford","GT",2022,"3.5",660,550,3,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,5,48000
"Porsche","Panamera Turbo S E-Hybrid",2021,"4",690,642,3,190000
"Lamborghini","Urus",2021,"4",641,627,3.5,218000
"Ferrari","Portofino M",2021,"3.9",612,561,3.4,235000
"Audi","TT RS",2022,"2.5",394,354,3.6,67600
"McLaren","Artura",2022,"3",671,531,3,225000
"BMW","M2 CS",2022,"3",444,406,3.8,84595
"Mercedes-Benz","SLS AMG Black Series",2021,"6.2",622,468,3.5,335000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Porsche","718 Boxster",2022,"2",300,280,4.9,63000
"Lamborghini","Aventador SVJ",2020,"6.5",759,531,2.8,573966
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","TT RS Coupe",2022,"2.5",394,354,3.5,68000
"McLaren","GT",2020,"4",612,465,3.1,210000
"BMW","Z4 Roadster",2022,"2",255,295,5.2,50000
"Mercedes-Benz","SLS AMG",2015,"6.2",622,468,3.6,2e+05
"Chevrolet","Camaro SS Convertible",2022,"6.2",455,455,4,49000
"Ford","GT",2021,"3.5",660,550,2.9,5e+05
"Nissan","370Z Coupe",2020,"3.7",332,270,5,30090
"Aston Martin","Vantage",2021,"4",503,505,3.6,142086
"Bentley","Continental GT",2022,"6",626,664,3.3,225000
"Bugatti","Chiron",2021,"8",1479,1180,2.4,3e+06
"Dodge","Challenger SRT Hellcat",2022,"6.2",717,656,3.5,68000
"Jaguar","F-Type",2022,"2",296,295,5.4,63700
"Lotus","Evora GT",2021,"3.5",416,317,3.8,1e+05
"Maserati","GranTurismo",2022,"4.7",454,384,4.7,150980
"Aston Martin","DBS Superleggera",2021,"5.2",715,664,3.2,304995
"Lotus","Evora GT",2021,"3.5",416,317,3.8,98395
"Porsche","Panamera Turbo S E-Hybrid",2021,"4",689,642,3,190000
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517000
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS7",2022,"4",591,590,3.5,117000
"Mercedes-Benz","S63 AMG",2021,"4",603,664,3.4,168000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,64500
"Ford","GT",2021,"3.5",660,550,2.8,5e+05
"Nissan","370Z Nismo",2021,"3.7",350,276,4.7,46000
"Porsche","718 Cayman GT4",2022,"4",414,309,4.2,102000
"Mercedes-AMG","C63 S Coupe",2021,"4",503,516,3.7,77500
"Aston Martin","Vantage",2021,"4",503,505,3.5,147000
"McLaren","570S",2021,"3.8",562,443,3.1,193000
"BMW","M5",2022,"4.4",600,553,3.2,103500
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,64000
"Lexus","LC 500",2021,"5",471,398,4.4,92950
"Mercedes-AMG","GT 63 S",2021,"4",630,664,3.1,162000
"Audi","TT RS",2021,"2.5",394,354,3.6,67600
"Acura","NSX",2021,"3.5",573,476,2.9,157500
"Porsche","Cayman GT4",2021,"4",414,309,4.2,102000
"Lamborghini","Aventador S",2021,"6.5",730,509,2.9,417826
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 5",2022,"2.9",444,443,3.5,76700
"McLaren","570S Spider",2020,"3.8",562,443,3.1,208800
"BMW","M2 Competition",2022,"3",405,406,4.2,58900
"Mercedes-Benz","C 63 AMG",2022,"4",469,479,3.9,69000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4,42000
"Ford","Mustang GT",2022,"5",460,420,4.5,43000
"Dodge","Challenger R/T",2021,"5.7",372,400,5.1,35000
"Aston Martin","Vantage",2021,"4",503,505,3.6,151000
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Alfa Romeo","4C Spider",2020,"1.7",237,258,4.1,69000
"Jaguar","F-Type",2022,"2",296,295,5.4,62500
"Tesla","Roadster",2022,"Electric",1000,737,1.9,2e+05
"Koenigsegg","Jesko",2022,"5",1600,1106,2.5,3e+06
"Bugatti","Chiron Super Sport 300+",2021,"8",1578,1180,2.4,5200000
"Rimac","Nevera",2021,"Electric",1914,1696,1.85,2400000
"Porsche","Cayman GT4",2022,"4",414,309,4.2,102100
"Chevrolet","Camaro ZL1",2022,"6.2",650,650,3.5,63000
"Aston Martin","Vantage",2021,"4",503,505,3.5,142086
"Alfa Romeo","Giulia Quadrifoglio",2022,"2.9",505,443,3.8,83250
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,65000
"Lexus","LC 500",2022,"5",471,398,4.4,93050
"Audi","RS 7 Sportback",2021,"4",591,590,3.5,114000
"BMW","M4 Competition",2022,"3",503,479,3.8,74700
"Mercedes-Benz","C63 S AMG",2022,"4",503,516,3.9,77600
"Ford","GT",2022,"3.5",660,550,2.9,5e+05
"McLaren","GT",2021,"4",620,465,3.1,210000
"Porsche","Panamera Turbo S",2022,"4",630,604,2.9,181100
"Lamborghini","Aventador S",2021,"6.5",730,507,2.9,417826
"Aston Martin","DBS Superleggera",2022,"5.2",715,664,3.2,329100
"Audi","TT RS",2022,"2.5",394,354,3.6,67600
"Mercedes-Benz","AMG C43 Coupe",2021,"3",385,384,4.5,59900
"BMW","i8",2022,"1.5",369,184,4.2,147500
"Chevrolet","Corvette Stingray",2021,"6.2",490,465,2.9,59900
"Porsche","Taycan",2022,"2.0 (Electric)",469,263,3.8,81250
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,517000
"Ferrari","Roma",2021,"3.9",611,560,3.3,222620
"Audi","RS7",2022,"4",591,590,3.5,115000
"McLaren","GT",2021,"4",612,465,3.1,210000
"BMW","M2",2022,"3",405,406,4.2,58900
"Mercedes-Benz","C63 AMG",2021,"4",469,479,3.9,77000
"Chevrolet","Camaro SS",2021,"6.2",455,455,4.1,43995
"Ford","Mustang Mach 1",2021,"5",480,420,4.1,51720
"Nissan","370Z Nismo",2021,"3.7",350,276,4.8,46610
"Porsche","Panamera",2022,"2.9",325,331,5.3,88550
"Lamborghini","Urus",2021,"4",641,627,3.6,218009
"Ferrari","SF90 Stradale",2021,"4.0 (Hybrid)",986,590,2.5,625000
"Audi","RS6",2022,"4",591,590,3.5,120000
"McLaren","570S",2021,"3.8",562,443,3.1,192500
"BMW","M4",2022,"3",503,479,3.8,74000
"Mercedes-Benz","AMG A45",2021,"2",382,354,4,50000
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63995
"Acura","NSX",2021,"3.5",573,476,2.7,157500
"Aston Martin","Vantage",2021,"4",503,505,3.5,142086
"Bentley","Continental GT",2021,"4",542,568,3.3,202500
"Bugatti","Chiron",2022,"8",1479,1180,2.4,2900000
"Ferrari","F8 Tributo",2022,"3.9",710,568,2.8,275000
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,517000
"McLaren","GT",2021,"4",612,465,3.1,201500
"Mercedes-Benz","AMG GT R",2021,"4",577,516,3.5,183000
"Porsche","Taycan Turbo S",2021,"Electric",750,774,2.6,185000
"Audi","RS7",2021,"4",591,590,3.5,114000
"BMW","M4",2021,"3",473,406,4.1,71800
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Dodge","Challenger SRT Hellcat Redeye",2022,"6.2",797,707,3.5,80190
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Jaguar","F-Type",2021,"3",380,339,4.4,62750
"Lexus","LC 500",2021,"5",471,398,4.4,92000
"Lotus","Evija",2021,"Electric",2000,1254,2.8,2800000
"Maserati","GranTurismo",2021,"Electric",550,NA,2.8,2e+05
"Nissan","370Z",2021,"3.7",332,270,5,30090
"Rolls-Royce","Ghost",2021,"6.8",563,627,4.6,332500
"Porsche","Taycan",2021,"2",402,254,5.1,81250
"Aston Martin","DB11",2021,"4",630,516,3.7,198995
"Lotus","Evora GT",2021,"3.5",416,317,3.8,105000
"Acura","NSX",2022,"3.5",573,476,2.7,157500
"Tesla","Roadster",2022,"0",NA,NA,1.9,2e+05
"Chevrolet","Camaro",2022,"6.2",455,455,4,25000
"Dodge","Charger",2021,"6.2",797,707,3.3,72000
"Jaguar","F-Type",2021,"3",380,339,4.9,62750
"Lexus","LC 500",2021,"5",471,398,4.4,93000
"BMW","M4",2022,"3",473,406,4.1,71800
"Ford","GT",2021,"3.5",660,550,2.9,5e+05
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,150980
"McLaren","600LT",2021,"3.8",592,457,2.8,256500
"Mercedes-Benz","SLS AMG",2021,"6.2",622,468,3.6,254995
"Nissan","370Z",2021,"3.7",332,270,5.2,30000
"Audi","RS 7",2021,"4",591,590,3.4,114000
"Bentley","Continental GT",2021,"4",542,568,3.9,220000
"Bugatti","Chiron",2021,"8",NA,NA,2.4,3e+06
"Porsche","Cayman",2022,"2",300,280,4.5,59900
"Aston Martin","Vantage",2021,"4",503,505,3.5,147000
"Alfa Romeo","4C Spider",2020,"1.7",237,258,4.1,67150
"Audi","RS 5",2022,"2.9",444,443,3.5,75100
"BMW","M2",2022,"3",405,406,4,58900
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,60695
"Ferrari","F8 Spider",2022,"3.9",710,568,2.9,274390
"Jaguar","F-Type",2021,"3",296,295,5.4,64700
"Lamborghini","Aventador",2021,"6.5",759,531,2.9,517770
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,99990
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,150800
"McLaren","GT",2021,"4",612,465,3.1,210000
"Mercedes-Benz","AMG C 63",2021,"4",469,479,3.8,67600
"Nissan","370Z Nismo",2021,"3.7",350,276,4.5,45790
"Porsche","Panamera",2022,"2.9",325,331,5.3,88800
"Subaru","WRX STI",2021,"2.5",310,290,5.2,38170
"Tesla","Roadster",2022,NA,NA,NA,1.9,2e+05
"Porsche","718 Cayman",2022,"2",300,280,4.9,61500
"Lamborghini","Aventador",2021,"6.5",729,509,2.9,393695
"Ferrari","SF90 Stradale",2022,"4",986,590,2.5,625000
"Audi","RS5 Coupe",2022,"2.9",444,443,3.5,76350
"McLaren","570S",2021,"3.8",562,443,3.1,202000
"BMW","M2",2022,"3",405,406,4,58900
"Mercedes-Benz","SL",2022,"3",429,384,4.4,96000
"Chevrolet","Camaro",2021,"6.2",455,455,4,25000
"Ford","GT",2022,"3.5",660,550,2.8,5e+05
"Nissan","370Z",2021,"3.7",332,270,5.3,33000
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,75250
"Aston Martin","DB11",2022,"4",630,516,3.7,201495
"Bentley","Continental GT",2021,"6",626,664,3.3,201000
"Dodge","Challenger",2021,"6.4",485,475,3.8,62000
"Jaguar","F-Type R",2022,"5",575,516,3.5,103200
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"Lotus","Evora GT",2021,"3.5",416,317,3.8,99000
"Maserati","GranTurismo",2021,"4.7",454,384,4.7,150000
"Porsche","Cayman GT4",2021,"4",414,309,4.2,102500
"Aston Martin","Vantage",2022,"4",503,505,3.5,149995
"Dodge","Charger SRT Hellcat",2022,"6.2",717,650,3.5,78595
"Audi","RS 7",2021,"4",591,590,3.5,114000
"Chevrolet","Camaro SS",2022,"6.2",455,455,4.1,37500
"Ford","Mustang GT",2022,"5",460,420,4,38500
"Jaguar","F-Type R",2022,"5",575,516,3.5,103200
"Lexus","LC 500",2022,"5",471,398,4.4,92950
"McLaren","570S",2021,"3.8",562,443,3.1,208800
"Mercedes-Benz","AMG C63",2022,"4",469,479,3.8,71450
"Nissan","370Z Nismo",2021,"3.7",350,276,4.9,47820
"Porsche","Panamera GTS",2021,"4",473,457,3.9,134150
"Audi","TT RS",2022,"2.5",394,354,3.6,67600
"BMW","M4",2021,"3",473,406,3.8,71800
"Ferrari","F8 Tributo",2021,"3.9",710,568,2.8,274280
"Lamborghini","Aventador",2021,"6.5",770,531,2.9,393695
"McLaren","GT",2021,"4",612,465,3.1,250000
"Mercedes-Benz","AMG GT 4-Door Coupe",2021,"4",630,664,3.1,171200
"Aston Martin","DBS Superleggera",2022,"5.2",715,663,3.4,321000
"Lotus","Evora GT",2021,"3.5",416,317,3.8,100500
"Porsche","Taycan Turbo S",2021,"Electric",750,774,2.6,185000
"McLaren","570S",2021,"3.8",562,443,3.1,195000
"Lamborghini","Aventador SVJ",2021,"6.5",759,531,2.8,517770
"Ford","GT",2021,"3.5",660,550,3,5e+05
"Audi","RS7 Sportback",2022,"4",591,590,3.5,114000
"BMW","M4",2022,"3",473,406,4.1,72800
"Mercedes-AMG","C63 S",2022,"4",503,516,3.7,78100
"Chevrolet","Camaro ZL1",2021,"6.2",650,650,3.5,63000
"Dodge","Charger Hellcat",2021,"6.2",717,650,3.6,70000
"Alfa Romeo","Giulia Quadrifoglio",2021,"2.9",505,443,3.8,78450
"Tesla","Model S Plaid",2022,"Electric",NA,NA,1.9,141190
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Porsche","Panamera Turbo S E-Hybrid",2021,"Hybrid",689,642,3,190000
"McLaren","Artura",2022,"3",671,531,3,225000
"Lamborghini","Urus",2021,"4",641,627,3.6,222000
"Ford","Mustang Mach 1",2021,"5",480,420,4,52915
"Porsche","911",2022,"3",379,331,4,101200
"Lamborghini","Huracan",2021,"5.2",630,443,2.8,274390
"Ferrari","488 GTB",2022,"3.9",661,561,3,333750
"Audi","R8",2022,"5.2",562,406,3.2,142700
"McLaren","720S",2021,"4",710,568,2.7,298000
"BMW","M8",2022,"4.4",617,553,3.1,130000
"Mercedes-Benz","AMG GT",2021,"4",523,494,3.8,118500
"Chevrolet","Corvette",2021,"6.2",490,465,2.8,59900
"Ford","Mustang Shelby GT500",2022,"5.2",760,625,3.5,81000
"Nissan","GT-R Nismo",2021,"3.8",600,481,2.5,212000
"Dodge","Challenger SRT Hellcat",2021,"6.2",717,656,3.5,64195
"Aston Martin","Vantage",2021,"4",503,505,3.6,147000
"Bugatti","Chiron",2022,"8",1500,1180,2.5,3900000
"Koenigsegg","Jesko",2022,"5",1280,1015,2.5,3e+06
"Pagani","Huayra",2021,"6",764,740,2.8,2600000
"Rimac","Nevera",2022,"Electric",1914,1696,1.85,2400000
"Lotus","Evija",2022,"Electric",1973,1254,2.5,2e+06
"Pininfarina","Battista",2021,"Electric",1872,1696,1.9,2500000
"Maserati","MC20",2021,"3",621,538,2.9,210000
"Porsche","Cayman",2021,"2",300,280,5.1,59900
"Lamborghini","Aventador",2021,"6.5",730,509,2.9,393695
"Ferrari","SF90 Stradale",2021,"4",986,590,2.5,625000
"Audi","RS 5",2021,"2.9",444,443,3.5,75100
"McLaren","GT",2022,"4",612,465,3.1,210000
"BMW","M2",2021,"3",405,406,4,58900
"Mercedes-Benz","SLS AMG",2021,"6.3",622,468,3.6,254500
"Chevrolet","Camaro",2021,"6.2",455,455,4,25000
"Ford","Mustang",2021,"2.3",310,350,5.3,27205
"Nissan","370Z",2021,"3.7",332,270,5.1,30090
"Aston Martin","Vantage",2021,"4",503,505,3.6,146000
"Bugatti","Chiron",2021,"8",1479,1180,2.4,3e+06
"Koenigsegg","Jesko",2022,"5",1280,1106,2.5,3e+06
"Lotus","Evija",2021,"Electric Motor",1972,1254,2,2e+06
"McLaren","Senna",2021,"4",789,590,2.7,1e+06
"Pagani","Huayra",2021,"6",764,738,3,2600000
"Rimac","Nevera",2021,"Electric Motor",1888,1696,1.85,2400000
